Transparency Data ,,,,,,,,
,,,,,,,,
The supplier data has to be made anonymous,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,09/06/2016,Printing & Stationery,JRS,PG Events Ltd,94723367,864,GBP
BIS,EPSRC,09/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94736398,160,GBP
BIS,EPSRC,09/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94736399,160,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,Premier Paper Group Ltd,94745350,156.48,GBP
BIS,EPSRC,09/06/2016,Hardware/Software Maintenance,JRS,Canon/Oce (UK) Ltd (Brentwood),94751360,3388.14,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,DENMAUR INDEPENDENT PAPERS LTD,94772350,947.72,GBP
BIS,EPSRC,09/06/2016,Consumables,JRS,DENMAUR INDEPENDENT PAPERS LTD,94773351,282.54,GBP
BIS,EPSRC,09/06/2016,Printing & Stationery,Admin RCUK Strategy Unit,Banner Business Services Limited,94773352,5.4,GBP
BIS,EPSRC,09/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94777349,218.7,GBP
BIS,EPSRC,09/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94777349,218.7,GBP
BIS,EPSRC,09/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94777350,218.7,GBP
BIS,EPSRC,09/06/2016,Health & Safety (inc. Medicals & Opticians),International,Unspecified,94778402,20.46,GBP
BIS,EPSRC,09/06/2016,T&S UK - Subsistence,Research Careers and Diversity,Unspecified,94778402,1.75,GBP
BIS,EPSRC,09/06/2016,T&S UK - Subsistence,Research Careers and Diversity,Unspecified,94778402,40,GBP
BIS,EPSRC,09/06/2016,T&S UK - Vehicle Hire,Programme Delivery Energy,Unspecified,94778403,16.75,GBP
BIS,EPSRC,09/06/2016,T&S UK - Subsistence,RCUK Executive Director,Unspecified,94778404,59.7,GBP
BIS,EPSRC,09/06/2016,T&S UK - Other Charges,EPSRC Corporate Services,Unspecified,94778405,26.47,GBP
BIS,EPSRC,09/06/2016,T&S UK - Public Transport,EPSRC Corporate Services,Unspecified,94778405,4.8,GBP
BIS,EPSRC,09/06/2016,T&S UK - Vehicle Hire,EPSRC Corporate Services,Unspecified,94778405,28.04,GBP
BIS,EPSRC,09/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94778406,10,GBP
BIS,EPSRC,09/06/2016,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,94778406,29.54,GBP
BIS,EPSRC,10/06/2016,Photocopy Costs,JRS,Canon/Oce (UK) Ltd (Brentwood),94554877,0.41,GBP
BIS,EPSRC,10/06/2016,Telecoms - Tele/ Video conferencing,EPSRC Corporate Services,InterCall Conferencing Services Ltd,94761253,75.96,GBP
BIS,EPSRC,10/06/2016,Telecoms - Tele/ Video conferencing,EPSRC Corporate Services,InterCall Conferencing Services Ltd,94761253,379.78,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94761284,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94761285,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94761286,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94761287,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94761288,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94761289,160,GBP
BIS,EPSRC,10/06/2016,Hardware/Software Maintenance,JRS,Canon/Oce (UK) Ltd (Brentwood),94766351,3388.14,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94774349,480,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94774350,480,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94774351,480,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94774352,480,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94777370,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94777371,160,GBP
BIS,EPSRC,10/06/2016,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,94777372,160,GBP
BIS,EPSRC,10/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94782351,218.7,GBP
BIS,EPSRC,10/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94783350,0.02,GBP
BIS,EPSRC,10/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94783350,0.1,GBP
BIS,EPSRC,10/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94783350,241,GBP
BIS,EPSRC,10/06/2016,Equipment Rentals Under Operating Leases,JRS,Canon/Oce (UK) Ltd (Brentwood),94783434,571.9,GBP
BIS,EPSRC,10/06/2016,Consumables,JRS,Vivid Laminating Technologies Ltd,94792587,-0.01,GBP
BIS,EPSRC,10/06/2016,Consumables,JRS,Vivid Laminating Technologies Ltd,94792587,514.13,GBP
BIS,EPSRC,10/06/2016,Consumables,JRS,Premier Paper Group Ltd,94792605,799.2,GBP
BIS,EPSRC,10/06/2016,Consumables,JRS,Premier Paper Group Ltd,94792611,799.2,GBP
BIS,EPSRC,10/06/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,94792634,-14.17,GBP
BIS,EPSRC,10/06/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,94792634,-2.83,GBP
BIS,EPSRC,10/06/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,94792634,90,GBP
BIS,EPSRC,10/06/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,94792635,150,GBP
BIS,EPSRC,10/06/2016,Meetings & Catering,Admin Peer Review and Output (excluding external panel member fees),Jurys Inn Group Ltd,94792637,150,GBP
BIS,EPSRC,10/06/2016,T&S UK - Mileage,Programme Delivery Physical Sciences,Unspecified,94792885,83.7,GBP
BIS,EPSRC,10/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94792885,3,GBP
BIS,EPSRC,10/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94792885,5.3,GBP
BIS,EPSRC,10/06/2016,T&S Overseas - Public Transport,RCUK-Newton Activity,Unspecified,94792886,7.51,GBP
BIS,EPSRC,10/06/2016,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,94792886,2.57,GBP
BIS,EPSRC,10/06/2016,T&S Overseas - Subsistence,RCUK-Newton Activity,Unspecified,94792886,12.4,GBP
BIS,EPSRC,10/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94792888,1.5,GBP
BIS,EPSRC,10/06/2016,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,94792888,9.5,GBP
BIS,EPSRC,10/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94792888,14.78,GBP
BIS,EPSRC,10/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94792888,15,GBP
BIS,EPSRC,10/06/2016,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,94792888,44.05,GBP
BIS,EPSRC,10/06/2016,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Unspecified,94792888,9.92,GBP
BIS,EPSRC,10/06/2016,Conferences & Seminars,Performance and Evaluation,Principal Hayley Hotels and Conference Venues,94793350,475.2,GBP
BIS,EPSRC,10/06/2016,Computer Software Licences,Strategy,ICSA Boardroom Apps Limited,94794353,22.5,GBP
BIS,EPSRC,10/06/2016,Computer Software Licences,Strategy,ICSA Boardroom Apps Limited,94794353,22.5,GBP
